X,Y
737035.2241012054,5511481.869226342
684871.8814846856,5385853.253020054
626740.7154659415,5498761.538297496
532247.7292569485,5648477.795289151
604149.8698280111,5611586.894770239
796499.7709230443,5444742.669620259
705429.6399974134,5433797.247923059
576579.9437251568,5395431.518371033
478065.1071283469,5668731.846056137
699131.7065665061,5699304.981734412
521529.62857911724,5661899.564311103
737110.4165440983,5527619.167541081
599028.7146503711,5720317.154655565
554750.0481407733,5708409.115442437
595107.9078912797,5479073.598226031
748337.1469365014,5383709.224515419
561130.3223051205,5580467.76384053
548947.0437763034,5503868.1566195525
749495.9379535278,5471454.589640947
618862.1132272601,5591580.655878592
854058.2512815021,5397112.944652719
612747.8778948116,5408410.6168013755
737944.0650237536,5551523.576548459
685305.5782320489,5385545.751220837
707269.3215625954,5500459.795129391
607266.2101476776,5595471.974599551
595342.4253555859,5680994.14505717
801968.1658819888,5438248.619062732
634170.1151842017,5446027.377117289
646335.1749095139,5525093.340271801
493179.43585343054,5637998.301096064
607056.5040989884,5552259.785334351
733481.5201374979,5472768.575619938
737049.9009215569,5555136.842885138
641189.3230624013,5479087.099723142
663665.9611158809,5443443.128489688
630207.8440862385,5683828.482979817
662419.3348303294,5617430.808470961
470630.6210226795,5756846.993762918
469793.367480616,5746689.219809474
609015.1390288023,5470843.819715603
749157.4193979369,5497301.943274838
557464.3779374713,5697729.393784074
596147.9001293478,5399973.328234527
617604.5668644733,5695175.1901688725
500398.5026729074,5604903.300610401
562213.302225313,5487362.255050695
761986.5027144284,5423067.046941853
586297.2286358216,5704901.928288847
517627.16885701584,5575521.088276526
807786.2138187273,5429598.092712806
542250.4315068156,5754206.792645311
671867.9466239682,5552310.429610277
662764.8088074959,5717105.931233341
532195.5498484193,5663120.603414649
839740.8972968536,5394893.148220683
711154.5619968831,5414911.580576584
566604.2464512407,5738810.603225764
762014.0935597079,5439226.2384772245
616227.4226496689,5739832.948936891
610388.4229592138,5650734.27220818
641777.8200358857,5537433.48111954
701559.0995194537,5583755.026861347
622394.5639433127,5728915.688953413
575601.5747315441,5715064.139231784
701053.0027274569,5569519.593231969
713014.3985251954,5588751.171146076
624400.5505399429,5711655.144976819
651060.7442070318,5732827.604085948
615419.5734814589,5372662.572133345
577264.3937900086,5378697.744562032
543406.608780972,5664058.862521564
601514.5501178529,5419050.419630041
698743.7631323427,5718811.48491613
669499.9927962802,5374515.126335179
726332.4427598846,5525946.185697982
814109.1334819361,5441842.721770482
570320.0791432371,5561406.878142279
712871.4787787129,5629983.780008979
687084.1910899738,5733199.095352968
696245.0537907087,5551002.092423338
581151.1080793836,5436718.072043464
525241.6946718638,5705810.449105935
622099.5195478487,5590470.687605815
491255.824538582,5756558.509131219
607076.3893153055,5730248.536438677
608942.9083021682,5696008.737004513
612723.466638217,5590206.540499501
646709.7849662036,5379736.477759207
615540.3341497387,5700953.746018004
720054.6369024313,5621693.97900056
624317.1427503598,5479574.846021203
620132.3165255121,5454987.15075155
539438.8747912999,5457667.170696621
503510.0328881525,5654349.423775502
549726.5881001693,5493471.611930799
650046.1201005033,5456012.171683343
559807.977362893,5539936.230229152
657473.5802354286,5639571.542075927
585566.542099728,5542564.210282992
649135.3131386827,5442986.518396718
658566.1907393411,5527073.433197031
607153.1487796849,5378598.853119766
507109.2994748128,5637852.445220765
598913.1350921295,5741369.678982761
665977.2163421814,5646100.775754942
524862.0863104763,5653868.507344596
480674.5367468823,5665126.847429175
569082.5581613616,5379259.290758315
517298.69079655205,5752097.596012378
535005.6184952657,5715527.0518572405
539744.2047364959,5719743.074877044
506807.1114574967,5703421.286706576
533815.4970083914,5692738.828372635
619648.7158914856,5389893.362548383
578600.3549288682,5579672.531934964
515198.90783807385,5575307.534387041
558198.3512347336,5523492.495180352
536054.7358530257,5756831.927189497
663756.0709725328,5387924.531879885
684523.1408736126,5516012.731191543
531770.2001049407,5574957.452337217
622138.6324207518,5451330.480778834
759832.9091054432,5430136.831592631
674660.2889627411,5418534.547129631
683545.608821362,5666556.838571629
495977.76522272005,5738687.096331032
739747.1060493232,5433988.2048963625
593836.5896049506,5678730.82833516
708793.1154998146,5620557.212429937
539970.418045161,5596849.9702859875
586027.2380131112,5544149.438190764
492567.7873409687,5728079.774907656
638870.5535198781,5740318.073189346
702880.3555145465,5623550.417465669
594040.602024657,5494818.511063442
692465.0361932714,5575350.427984104
772651.3282929254,5453764.258616789
673812.1505142768,5741173.443510853
468920.90699950303,5716420.447957939
548859.4462999691,5474365.551167853
494177.38037326914,5667643.336863672
636611.489114472,5625772.279169163
614593.1382390833,5433274.125674922
603821.4902251342,5520297.683715742
732019.9138380662,5410434.061291564
568131.937399919,5580748.957601229
